Date,State,Infection_Count
2020-11-30,DAMAN & DIU,50.0
2020-11-30,DELHI,42059.0
2020-11-30,GOA,2023.0
2020-11-30,GUJARAT,18859.0
2020-11-30,HARYANA,20790.0
2020-11-30,HIMACHAL PRADESH,8970.0
2020-11-30,JAMMU & KASHMIR,6659.0
2020-11-30,JHARKHAND,2980.0
2020-11-30,KARNATAKA,35076.0
2020-11-30,KERALA,64270.0
2020-11-30,LADAKH,926.0
2020-11-30,LAKSHADWEEP,
2020-11-30,MADHYA PRADESH,18031.0
2020-11-30,MAHARASHTRA,138774.0
2020-11-30,MANIPUR,3481.0
2020-11-30,MEGHALAYA,874.0
2020-11-30,MIZORAM,326.0
2020-11-30,NAGALAND,1100.0
2020-11-30,ODISHA,6660.0
2020-11-30,PUDUCHERRY,1070.0
2020-11-30,PUNJAB,12649.0
2020-11-30,RAJASTHAN,30965.0
2020-11-30,SIKKIM,446.0
2020-11-30,TAMIL NADU,22709.0
2020-11-30,TELANGANA,11480.0
2020-11-30,TRIPURA,985.0
2020-11-30,UTTAR PRADESH,31860.0
2020-11-30,UTTARAKHAND,6968.0
2020-11-30,WEST BENGAL,32722.0
2020-12-31,ANDAMAN & NICOBAR,119.0
2020-12-31,ANDHRA PRADESH,10370.0
2020-12-31,ARUNACHAL PRADESH,155.0
2020-12-31,ASSAM,4304.0
2020-12-31,BIHAR,6107.0
2020-12-31,CHANDIGARH,703.0
2020-12-31,CHHATTISGARH,14806.0
2020-12-31,DADRA & NAGAR HAVE,44.0
2020-12-31,DAMAN & DIU,44.0
2020-12-31,DELHI,16047.0
2020-12-31,GOA,1678.0
2020-12-31,GUJARAT,14045.0
2020-12-31,HARYANA,6472.0
2020-12-31,HIMACHAL PRADESH,3585.0
2020-12-31,JAMMU & KASHMIR,4892.0
2020-12-31,JHARKHAND,2689.0
2020-12-31,KARNATAKA,23380.0
2020-12-31,KERALA,68454.0
2020-12-31,LADAKH,323.0
2020-12-31,LAKSHADWEEP,
2020-12-31,MADHYA PRADESH,12960.0
2020-12-31,MAHARASHTRA,103566.0
2020-12-31,MANIPUR,1512.0
2020-12-31,MEGHALAYA,323.0
2020-12-31,MIZORAM,106.0
2020-12-31,NAGALAND,413.0
